code,creator,created_datetime,product_name,countries,energy_100g,fat_100g
6163,usda-ndb-import,2017-03-09T13:14:21Z,Cornichons,US,75,0
630135899,usda-ndb-import,2017-03-10T10:40:02Z,"Too Tarts, Smartchoice, Sugar Free Spray Candy, Blu Bewwy",US,205,0
630138791,usda-ndb-import,2017-03-09T15:25:08Z,Sour & Fruity Candy,US,745,0
651003214,usda-ndb-import,2017-03-09T10:59:40Z,Romaine Hearts,US,75,0
651041001,usda-ndb-import,2017-03-09T10:59:40Z,Romaine,US,75,0
651041025,usda-ndb-import,2017-03-09T10:59:41Z,Green Leaf Lettuce,US,75,0
651213019,usda-ndb-import,2017-03-10T08:18:25Z,Fresh Spinach,US,100,0
651213026,usda-ndb-import,2017-03-09T20:11:19Z,Cooking Spinach,US,100,0
651319018,usda-ndb-import,2017-03-09T11:04:55Z,Quick Cook Sprout Halves,US,176,0
651511016,usda-ndb-import,2017-03-09T20:11:19Z,Celery,US,59,0
651813103,usda-ndb-import,2017-03-09T11:04:56Z,Season & Steam Kalettes (Kale Sprouts),US,222,0
6666,openfoodfacts-contributors,2016-02-22T11:43:49Z,,en:FR,,
698309041,usda-ndb-import,2017-03-09T16:09:52Z,"Feletti, Pralines Candy, Milk Chocolate",US,2209,30.56
698465815,usda-ndb-import,2017-03-09T16:00:35Z,"Feletti, Milk Chocolate Pralines",US,2264,32.43
729181042,usda-ndb-import,2017-03-09T14:52:18Z,"Taami Elite, Milk Choolate Bar, Puffed Rice And Nougat-Caramel Cream",US,2125,27.5
764001770,usda-ndb-import,2017-03-09T15:03:39Z,"Ryan's, Juice Melange, Fuji Pom Blend",US,192,0
764001787,usda-ndb-import,2017-03-09T16:10:10Z,"Ryan's, Lemonade",US,226,0
764003033,usda-ndb-import,2017-03-09T14:54:11Z,"Ryan's, Spiced Apple Cider",US,192,0
764003040,usda-ndb-import,2017-03-09T15:40:01Z,"Ryan's, Pink Lady, Apple Cider",US,192,0
764114944,usda-ndb-import,2017-03-09T16:10:10Z,"Ryan's, Organic Juice, Apple",US,192,0
764708617,usda-ndb-import,2017-03-09T15:03:39Z,"Ryan's, Opal Blend Melange, Apple Cider",US,192,0
7658,kyzh,2015-03-03T13:06:13Z,,en:GB,,
790100027,usda-ndb-import,2017-03-09T16:44:45Z,"Fruit Strip Snacks, Mango, Pineapple",US,1343,0
790100058,usda-ndb-import,2017-03-09T16:44:46Z,Fruit Twist Snacks Blueberry Pomec-Ranate,US,1343,0
790105282,usda-ndb-import,2017-03-09T15:40:01Z,"Healthy Food Brands, A&W, Soda Bottles Gummy Candies With Real A&W Root Beer",US,1046,0
790110002,usda-ndb-import,2017-03-09T16:10:10Z,"Emojeez, Gummies, Assorted Fruits",US,1151,0
790110019,usda-ndb-import,2017-03-09T15:03:39Z,"Emojeez, Gummies Candy, Fruit",US,1151,0
790110026,usda-ndb-import,2017-03-09T16:10:10Z,"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry",US,1151,0
790110033,usda-ndb-import,2017-03-09T15:25:08Z,Gummies,US,1151,0
790110040,usda-ndb-import,2017-03-09T15:40:01Z,"Emojeez, Fruit Gummies, Assorted",US,1151,0
790110057,usda-ndb-import,2017-03-09T14:54:11Z,"Emojeez, Gummies Candy, Fruit",US,1151,0
790200123,usda-ndb-import,2017-03-09T13:33:39Z,"Lite, Fine Chocolate Candy Bar, Dark Chocolate",US,1674,32
790310013,malikele,2014-01-02T17:03:07Z,Sour Fruit Gummies,Germany,1360,0
790310020,malikele,2014-01-02T11:21:51Z,Jelly Fish,Germany,586,0
790310044,malikele,2014-01-02T16:48:23Z,Color bombe,Usa,,
790350040,usda-ndb-import,2017-03-09T16:10:10Z,"Hfb Candy, Candy Crush Color Bombs",US,1883,17.5
790350187,usda-ndb-import,2017-03-09T16:10:11Z,"Hfb Candy, Jelly Fish Candy",US,1464,0
790350385,usda-ndb-import,2017-03-09T16:44:48Z,"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry",US,1197,0
790400004,usda-ndb-import,2017-03-09T16:44:47Z,Freeze-Dried Apple Slices,US,1494,0
790400028,usda-ndb-import,2017-03-09T16:44:51Z,Freeze-Dried Banana & Strawberry Slices,US,1343,0
790400042,usda-ndb-import,2017-03-09T16:44:47Z,Freeze-Dried Mango Slices,US,1494,1.79
790400066,usda-ndb-import,2017-03-09T16:44:45Z,Freeze-Dried Grapes,US,1477,0
790400301,usda-ndb-import,2017-03-09T16:44:47Z,Freeze-Dried Apple Slices,US,1464,0
790400325,usda-ndb-import,2017-03-09T16:44:48Z,"Freeze-Dried Fruit Slices, Banana & Strawberry",US,1464,0
790400349,usda-ndb-import,2017-03-09T16:44:47Z,Freeze-Dried Mango Slices,US,1464,0
790400363,usda-ndb-import,2017-03-09T16:44:48Z,Freeze-Dried Grapes,US,1569,0
790410003,usda-ndb-import,2017-03-09T10:39:33Z,"Wholesome & Delicious Dried Cranberries, Concord Grape",US,1360,0
790410010,usda-ndb-import,2017-03-09T16:44:51Z,"Dried Cranberries, Pomegranate Flavor",US,1360,0
790410027,usda-ndb-import,2017-03-09T16:44:48Z,"Dried Cranberries, Blueberry",US,1360,0
790410034,usda-ndb-import,2017-03-09T10:59:42Z,Dried Cranberries,US,1360,0
790410041,usda-ndb-import,2017-03-09T16:44:48Z,Dried Mediterranean Apricots,US,941,0
790410058,usda-ndb-import,2017-03-10T10:55:33Z,Dried Honey Crisp Apples,US,1255,0
790410065,usda-ndb-import,2017-03-09T12:50:55Z,Wholesome & Delicious Dried Mangos,US,1464,0
790410553,usda-ndb-import,2017-03-10T10:21:45Z,"Triple Fruit Treat, Mango, Cranberries, Blueberries",US,1456,0
790420002,usda-ndb-import,2017-03-09T16:44:49Z,Red Apple Chips,US,1594,0
790430018,usda-ndb-import,2017-03-09T16:10:11Z,"Pb&J Trail Mix, Grape",US,1971,25.88
790430063,usda-ndb-import,2017-03-09T14:51:31Z,"Pb & J Trail Mix, Strawberry",US,1971,25.88
790430070,usda-ndb-import,2017-03-09T15:03:40Z,"Pb&J Trail Mix, Grape",US,1971,25.88
790440017,usda-ndb-import,2017-03-09T16:44:48Z,Red Apple Chips,US,1644,0
790440024,usda-ndb-import,2017-03-09T16:44:49Z,Golden Apple Chips,US,1644,0
790440031,usda-ndb-import,2017-03-09T16:44:50Z,Green Apple Chips,US,1644,0
790500117,usda-ndb-import,2017-03-09T09:38:00Z,Fruit Gummies,US,1255,0
790500148,usda-ndb-import,2017-03-10T08:39:37Z,Fruit Gummies Candy,US,1255,0
